job_id,title,company,skills_required,location
208,Accountant,Brown and Sons,aws;docker;nodejs;hr;sql;flask,Mohali
209,Digital Marketer,Smith Ltd,ml;docker;hr;marketing;java,Ludhiana
210,Data Analyst,Bennett and Sons,accounting;python;ml;java;hr;django;sql,Hoshiarpur
211,Sales Executive,Callahan-Moore,sales;python;sql;react;nlp;communication;kubernetes;hr,Hoshiarpur
212,Quality Analyst,Conway Ltd,flask;django;accounting;project_management;dl;excel;python;ml,Mohali
213,Field Officer,Bowers Ltd,python;flask;accounting;django;dl,Amritsar
214,Software Developer,"Reynolds, White and Hernandez",nlp;flask;ml;kubernetes;nodejs;project_management;communication;hr,Ludhiana
215,Machine Learning Engineer,Mahoney PLC,ml;docker;aws,Amritsar
216,Machine Learning Engineer,Nelson-Smith,project_management;sql;nlp;docker;hr;aws;ml,Hoshiarpur
217,Data Analyst,Rojas-Lynn,python;dl;kubernetes;sales;react;java;nodejs,Amritsar
218,Accountant,"Goodman, Johnson and Fitzgerald",nodejs;ml;c++,Amritsar
219,Sales Executive,Fernandez PLC,excel;docker;sales;kubernetes;project_management;accounting;marketing;c++,Hoshiarpur
220,Field Officer,Mills-Gallagher,marketing;nodejs;hr,Mohali
221,Accountant,"Lewis, Velez and Lee",react;ml;hr,Patiala
222,HR Executive,Hamilton PLC,hr;sql;marketing;accounting,Mohali
223,Full Stack Developer,Wiley-Smith,kubernetes;django;nodejs;flask;accounting,Hoshiarpur
224,Full Stack Developer,Ward PLC,c++;sales;sql;marketing;dl;nodejs;project_management,Ludhiana
225,Machine Learning Engineer,"Brown, Eaton and Valencia",accounting;communication;docker;nlp;sales,Mohali
226,HR Executive,"Smith, Butler and Hartman",excel;django;nodejs,Mohali
227,Machine Learning Engineer,Morris LLC,accounting;c++;excel;docker;sales;hr;react,Jalandhar
228,Digital Marketer,Davidson Inc,react;project_management;c++;hr;marketing,Mohali
229,Sales Executive,"Rollins, Johnson and Medina",kubernetes;docker,Patiala
230,HR Executive,Thomas Group,sales;kubernetes;sql;nlp;accounting,Firozpur
231,Sales Executive,Hicks-Spencer,django;excel;ml,Patiala
232,Field Officer,"Stout, Martinez and Valdez",kubernetes;java;react;docker;project_management;marketing;python,Firozpur
233,Machine Learning Engineer,"Boone, Ruiz and Allison",excel;django,Chandigarh
234,Digital Marketer,Reed-Mcconnell,marketing;docker;sales,Jalandhar
235,Software Developer,"Kelly, White and Leon",sales;project_management;dl;react;java;kubernetes;sql,Ludhiana
236,HR Executive,"Kane, Koch and Williams",excel;hr;dl;python;sales;java,Firozpur
237,Field Officer,Estes-Holmes,nlp;excel,Chandigarh
238,Full Stack Developer,Spencer Inc,docker;nodejs;aws,Bathinda
239,Sales Executive,Cole-Sanchez,aws;communication;project_management;dl;c++;ml,Mohali
240,Software Developer,Mathis Inc,accounting;sales;marketing,Ludhiana
241,Sales Executive,White Inc,kubernetes;sales;communication;hr;nodejs;accounting,Chandigarh
242,Full Stack Developer,"Campos, Hamilton and Montoya",nlp;react;sales;project_management;c++;django,Ludhiana
243,Data Analyst,"Petersen, Jones and David",c++;ml;sales;java,Ludhiana
244,Field Officer,Johnson-Mann,nodejs;flask,Mohali
245,HR Executive,Henry PLC,sql;aws,Mohali
246,Accountant,Adams-Hughes,dl;excel;kubernetes;docker,Patiala
247,HR Executive,"Olsen, Alvarado and Griffin",ml;docker;python;communication,Hoshiarpur
248,Quality Analyst,Roth-Small,dl;kubernetes,Jalandhar
249,Sales Executive,Moore-Gregory,nodejs;python;sql;c++;flask;docker;sales;kubernetes,Chandigarh
250,Machine Learning Engineer,"Tucker, Morris and Hester",kubernetes;docker;dl;c++;ml;nodejs,Amritsar
251,Full Stack Developer,"Flores, Downs and Walker",nodejs;nlp;sql;project_management;react;excel;communication;hr,Firozpur
252,Digital Marketer,Brewer-Johnson,c++;java;dl;nlp;marketing;excel;flask,Chandigarh
253,Digital Marketer,Gill-Villanueva,nlp;excel;communication;sales;react;ml;project_management;dl,Hoshiarpur
254,Sales Executive,"Roberson, Long and Reed",flask;marketing;java;docker,Amritsar
255,Full Stack Developer,"Koch, Montgomery and Ramirez",communication;flask;project_management,Mohali
256,Field Officer,"Hernandez, Baker and Jackson",communication;dl;marketing;excel;java,Jalandhar
257,Sales Executive,Deleon and Sons,dl;accounting;c++;java;flask;kubernetes,Chandigarh
258,Software Developer,"Miller, Johnson and Moses",marketing;python;nlp;aws;docker;sql;hr,Patiala
259,Data Analyst,Burgess and Sons,accounting;ml;kubernetes;sales;hr;excel,Firozpur
260,Sales Executive,Shelton and Sons,docker;react,Bathinda
261,Accountant,Thomas and Sons,accounting;nlp;dl;sql;project_management;excel,Patiala
262,Accountant,Lambert-Kramer,marketing;hr;java;dl;accounting;excel;docker;flask,Bathinda
263,Field Officer,Chapman Ltd,hr;dl;django;nlp,Hoshiarpur
264,HR Executive,Anthony Inc,accounting;hr;python;ml;nlp;sales;communication;c++,Ludhiana
265,Machine Learning Engineer,Martinez LLC,ml;communication;kubernetes;nodejs;docker,Firozpur
266,Machine Learning Engineer,Jones Inc,sales;hr;dl;python;marketing;ml,Patiala
267,Data Analyst,Palmer Inc,docker;python;sql;accounting,Patiala
268,Data Analyst,Salinas-Holmes,react;c++;flask;aws;dl;java;hr;marketing,Ludhiana
269,Quality Analyst,Palmer-Gardner,nlp;nodejs;django;project_management;aws;dl,Firozpur
270,HR Executive,Cook Ltd,flask;sql;accounting;django;ml;aws;react,Amritsar
271,Machine Learning Engineer,Perez LLC,communication;docker;nodejs,Hoshiarpur
272,Full Stack Developer,Lopez-Barajas,c++;nlp,Hoshiarpur
273,Full Stack Developer,Pope and Sons,nodejs;java;hr;excel,Chandigarh
274,Sales Executive,"Gonzales, Zavala and Hester",django;c++;kubernetes,Bathinda
275,Sales Executive,Shaw-Griffith,sales;dl,Amritsar
276,HR Executive,Miller-Hart,project_management;nodejs;hr;dl;aws;c++;sales,Ludhiana
277,Sales Executive,Carpenter Inc,excel;django,Hoshiarpur
278,Machine Learning Engineer,"Casey, Santiago and Holt",aws;dl;ml;java,Hoshiarpur
279,Data Analyst,Gray-Reyes,nodejs;kubernetes;python;react;java;hr,Ludhiana
280,Sales Executive,Williams PLC,ml;excel;dl;accounting;flask;react;c++;communication,Mohali
281,Sales Executive,Hayes Ltd,react;hr;java;kubernetes;nodejs;aws;flask;python,Hoshiarpur
282,Field Officer,"Bolton, Martinez and Moyer",django;aws;communication;kubernetes;react,Ludhiana
283,Data Analyst,Perez PLC,sql;dl;marketing;java;ml;c++;sales,Hoshiarpur
284,Digital Marketer,Maddox-Gregory,project_management;aws,Chandigarh
285,Quality Analyst,"Allen, Hill and Rivera",docker;nodejs,Chandigarh
286,Digital Marketer,Johnson Ltd,marketing;accounting;python;ml;docker;nodejs,Mohali
287,Digital Marketer,"Waters, Best and Johnson",nlp;nodejs;communication;java;kubernetes;marketing,Firozpur
288,Software Developer,Rodriguez-Mclean,dl;hr;communication;nlp;docker;marketing,Chandigarh
289,Full Stack Developer,Alvarez Group,communication;sql;c++;excel,Firozpur
290,Sales Executive,"Williams, Frank and Taylor",dl;ml;sql;excel;sales;c++;python;django,Chandigarh
291,Software Developer,"Melendez, Webster and Moreno",django;dl;marketing;python;hr;excel,Amritsar
292,Quality Analyst,"West, Evans and Parks",dl;c++;kubernetes;accounting;django;nodejs;excel;sql,Amritsar
293,Accountant,"Wolfe, Haley and Austin",accounting;java;project_management;c++;excel;nlp;react,Jalandhar
294,Quality Analyst,"Clark, Freeman and Nguyen",accounting;kubernetes,Firozpur
295,Data Analyst,Weiss-Rivera,communication;ml;docker;aws;dl;nodejs,Patiala
296,Data Analyst,Hernandez-Humphrey,sales;java,Hoshiarpur
297,Accountant,"Robinson, Hayes and Carpenter",c++;communication;ml;python;project_management;accounting,Firozpur
298,Digital Marketer,Knight and Sons,react;c++;communication;sales;hr,Firozpur
299,Data Analyst,Cook LLC,django;communication;c++;excel;hr;kubernetes,Firozpur
300,Accountant,"Gentry, Aguilar and Ross",hr;accounting;django;aws;python;sql;nlp,Mohali
301,Sales Executive,Gibbs-Mendez,aws;docker;python,Firozpur
302,Machine Learning Engineer,"Parks, Dawson and Oconnor",marketing;java;c++;aws;nlp;dl;python;excel,Mohali
303,Accountant,"Fox, Morgan and Fuller",docker;react;project_management,Amritsar
304,Sales Executive,"King, Bradley and Obrien",dl;react;ml;nlp;flask;excel;hr,Ludhiana
305,HR Executive,"Garcia, Carey and Watson",nlp;project_management;excel;communication;flask;marketing;dl,Firozpur
306,Software Developer,Soto and Sons,marketing;aws;c++;project_management;kubernetes;nlp;react,Amritsar
307,Digital Marketer,"Valentine, Lewis and Bush",ml;marketing;aws;flask,Jalandhar
308,Digital Marketer,Campbell PLC,communication;sql;react;java;nlp;c++;accounting,Bathinda
309,Sales Executive,Gray PLC,react;flask,Patiala
310,Machine Learning Engineer,Cox and Sons,excel;sql;kubernetes;django;sales,Jalandhar
311,Software Developer,Snyder-Rowe,ml;accounting;nodejs;marketing;react;hr,Ludhiana
312,Digital Marketer,"Smith, Williams and Mcknight",nlp;sql;react;aws;hr;accounting;sales,Mohali
313,Full Stack Developer,Myers-Garza,flask;aws,Chandigarh
314,Quality Analyst,Morrow-Bennett,docker;ml;dl;project_management;sales;accounting;python;sql,Jalandhar
315,HR Executive,Bailey-Campos,excel;marketing;nlp;accounting;kubernetes;aws;sql,Ludhiana
316,Software Developer,"Sims, Roberts and Thomas",docker;react;dl;excel;java;django;flask;accounting,Amritsar
317,Quality Analyst,Valenzuela Ltd,sql;hr;dl;aws;ml;docker;accounting,Patiala
318,Sales Executive,"Williams, Rogers and Davis",c++;ml;docker;flask;nlp;django,Ludhiana
319,Accountant,"Wise, Riggs and Meyers",communication;django,Patiala
320,HR Executive,Holmes PLC,django;excel;docker;react,Amritsar
321,Full Stack Developer,Richardson and Sons,excel;communication,Amritsar
322,Sales Executive,Moore-Ellis,ml;communication;flask;kubernetes,Ludhiana
323,HR Executive,Rogers LLC,aws;nlp;nodejs;sales,Mohali
324,HR Executive,Gray-Sampson,nodejs;sql;docker;nlp,Amritsar
